pricePerUnit;brand;productType;identificationID;dimensions;title;quantityAvailable;mainImage;technicalSheetURL
18.2;Desso;Réemploi;GIZ2208001;50x50;Natural Nuances AA16 9510;44;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/DESSO-KORUS-MONTPELLIER-GIZ-2208001-logo-Wmcx.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/72ad71bb-ec06-410e-a4ea-9310822fc842.pdf
19.6;Desso;Réemploi;GIZ2203005;50x50;Scape B879 9097;412;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/optimalkarpet/DESSO-SCAPE-B8799097-optimal-karpet-GP2t.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/744abf12-796c-490f-b42d-bcfcb9c97dad.pdf
25.2;Interface;Réemploi;GIZ2210004;50x50;Composure Harbour;117;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/composure-harbour-vert-GIZ2210004-LOGO-wbBD.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/925d3bce-5ed1-4f1e-b81c-559fbe2df540.pdf
15.4;Interface;Réemploi;GIZ2210010;50x50;Equilibrium 1190031 Uniformity;190;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Int-euqilibrium-uniformity-GIZ2210010-carton-logo-x8Li.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/0138fc3c-e95e-41e2-9cef-a9f980321833.pdf
22.4;Modulyss;Réemploi;GIZ2211009;50x50;Fluid& 604;47;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/MODULYSS-FLUID-2211009-LOGO-RcMb.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/ac891e66-9fc5-4379-9459-9da22905256f.pdf
19.6;Interface;Réemploi;GIZ2111016;50x50;Polichrome Solid Grenadine;34;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/interface-polichrome-grenadine-logo-Ef51.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/8dbe07e2-46e8-42ea-b11c-8d241803dcfd.pdf
23.1;Interface;Réemploi;GIZ2212009;50x50;Composure Edge;130;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/2212009-COMPOSURE-LOGO-HAQc.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/d5ab2d6a-6da7-46c3-99a7-6b8d2ddc8312.pdf
25.2;Interface;Réemploi;GIZ2210003;50x50;Composure Diffuse;66;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/interface-composure-diffuse-logo-mH5z.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/a2f044a9-df1b-4439-a7d4-21484d2b3ca5.pdf
23.1;Milliken;Réemploi;GIZ2202005;45.7x45.7;Formwork FWK169 Sash;31;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/milliken-formwork-sash-optimal-karpet-fqWL.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/4f37d6e7-088c-4b7f-b4ac-e9f7ae69450c.pdf
16.8;Milliken;Réemploi;GIZ2212014;50x50;Formwork FWK120 Foundation;99;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/2212014-MILLIKEN-FORWORK-LOGO-IGe7.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/cb96841c-8177-4eef-89f3-3231bc1395e6.pdf
