sku,quantity,price
RCT-O-GIZ2202010,1,35.28
RCT-O-GIZ2111008,1,23.52
RCT-O-GIZ2112001,1,39.20
RCT-O-GIZ2111002,1,35.28
RCT-O-GIZ2202003,1,14.70
MILLIKEN-GIZ2204002,1,33.32
MILLIKEN-GIZ2209010,1,35.28
MILLIKEN-GIZ2202005,1,32.35
MILLIKEN-GIZ2210012,1,31.36
MILLIKEN-GIZ2306003,1,33.32
RCT-C-TEST001,1,25.90
RCT-C-TEST002,1,26.60
RCT-C-TEST003,1,24.50
RCT-C-TEST004,1,28.00
RCT-C-TEST005,1,29.40
RC-SERVICE-MONTERING,1,4.18
RC-SERVICE-RENGORING,1,2.79
