sku,quantity,price
1,1,775.03
1,5,697.53
1,10,620.02
2,1,1260.03
2,5,1134.03
2,10,1008.02
3,1,581.03
3,5,522.93
3,10,464.82
4,1,1066.03
4,5,959.43
4,10,852.82
5,1,872.03
5,5,784.83
5,10,697.62
6,1,1454.03
6,5,1308.63
6,10,1163.22
7,1,678.03
7,5,610.23
7,10,542.42
8,1,969.03
8,5,872.13
8,10,775.22
