sku,price,qty
1,699.00,1
1,349.50,5
1,209.70,10
2,1149.00,1
2,574.50,5
2,344.70,10
3,499.00,1
3,249.50,5
3,149.70,10
4,949.00,1
4,474.50,5
4,284.70,10
5,799.00,1
5,399.50,5
5,239.70,10
6,1299.00,1
6,649.50,5
6,389.70,10
7,599.00,1
7,299.50,5
7,179.70,10
8,849.00,1
8,424.50,5
8,254.70,10
